question,answer,category
What courses does KGiSL offer?,"KGiSL offers UG, PG, and Diploma programs in Engineering, Management, Computer Science, and Commerce.",courses
Eligibility for B.E CSE?,Students must have completed 12th with Mathematics and Physics as compulsory subjects and a minimum of 50% aggregate.,admission
What is the annual fee for B.E CSE?,"The annual fee for B.E CSE is ?95,000. Hostel and transport charges are additional.",fees
Does KGiSL provide hostels?,"Yes, KGiSL offers separate hostels for boys and girls with WiFi, study rooms, mess, and security.",hostel
What are the hostel fees?,"The hostel fee ranges between ?60,000 to ?75,000 per year depending on the room type.",hostel
How to apply for admission?,You can apply through the official KGiSL website by filling out the online application form and uploading required documents.,admission
Does the college provide transportation?,"Yes, KGiSL provides transportation across Coimbatore with 25+ bus routes.",transport
What are the placement opportunities?,"KGiSL has strong placements with top companies like TCS, Infosys, Wipro, Amazon, and KGiSL Group companies.",placement
What is the highest salary package?,The highest salary package offered last year was ?10 LPA.,placement
Is there a scholarship available?,"Yes, scholarships are available based on academic merit, sports achievements, and government schemes.",scholarship
Campus facilities available?,"KGiSL offers modern labs, library, auditorium, sports grounds, hostels, canteen, and WiFi-enabled campus.",general
Do you have a BCA program?,"Yes, KGiSL offers BCA with specializations like Data Science and Cloud Computing.",courses
Is there an MBA program?,"Yes, MBA is offered with specializations in HR, Finance, Marketing, and Business Analytics.",courses
What documents are required for admission?,"12th marksheet, transfer certificate, community certificate, passport-size photos, and address proof.",admission
When does the semester start?,The odd semester usually begins in July–August depending on academic schedule.,general
